#美国至少15个州已启用国民警卫队#实际上，美国动用国民警卫队来控制骚乱的州数量已经升至21个。十多个州处于失控状态，二战以来，美国还没有出现过这么大规模的骚乱。今天拜登在跟抗议者交谈，特朗普蹲在地堡里发推，除了威胁动用“恶犬”，似乎没有给抗议者提供任何安慰。L第一亿颗星的微博视频,06/01
美国疫情下，特朗普打高尔夫L大灰羊一号的微博视频,06/01
【德媒刊发文章《特朗普之谬》：损害中国不会让就业回流美国】德国《商报》5月27日刊登文章中称，即使企业将生产线迁出中国也不会回到美国，而回到美国的企业创造的工作岗位也抵不上美国抗疫糟糕表现所毁掉的工作岗位。损害中国并不会令许多企业回到美国，而是更愿意在中国的亚洲邻国生产，那里的劳动力成本更低。详情↓↓,06/01
这个恶霸就是“浙江舟山的特朗普”!善恶到头终有报!不行多义必自毙!愿新一轮新冠在这个恶霸身上发生!,06/01
王缉思教授特朗普现象特朗普总是甩锅中国，是有原因的#Naomi##Anonymous##爱泼斯坦##明星名媛八卦爆料#L娱乐钊的微博视频,06/01
大言不惭。世上竟有如此厚颜无耻的自不量力者。//【特朗普公开发话：“如果我不能成功连任美国总统，世界就完了”】O特朗普公开发话：“如果我不能成功连任美国总统，世界就完了”,06/01
『惊天巨瓜！特朗普强奸13岁少女，多次性侵儿童，怕泄密杀人灭口，黑客正在爆料！』O惊天巨瓜！特朗普强奸13岁少女，多次性侵儿童，怕泄密杀人灭口，黑客正在爆料！,06/01
示威者白宫纵火违抗宵禁特朗普再次躲进白宫掩体——美国时间5月31日晚，大量示威者违抗华盛顿特区宵禁令，聚集在白宫外纵火、焚烧美国国旗，美国总统特朗普再次被带入白宫掩体。这是是华盛顿特区首个宵禁夜，也是示威者举行游行的第六个夜晚，白宫当晚罕见的关闭了标志性的灯光。警察在现场发射催泪弹试图驱散示威人群，双方爆发剧烈冲突。,06/01
020年PBS最新发布的长篇纪录片，重磅纪录片力作《美国鸿沟：从奥巴马到特朗普》，评分8.4！帮助深度了解当前美国社会，长达四小时展开深度探索，对美国日益痛苦的种族分裂和乌烟瘴气的政治生态进行调查，两党内斗导致社会撕裂对立，进而可能导致美国社会的衰退。下部L水山水山水山的微博视频考察特朗普的竞选团队如何利用国家的分歧，他的总统任期如何在分歧双方释放愤怒，以及美国的两极分化对国家未来意味着什么。上部L水山水山水山的微博视频追溯了随着种族、文化和政治分歧的加剧为唐纳德·特朗普的崛起奠定了基础，而巴拉克·奥巴马豪言壮语中的团结承诺又如何破灭。时间较长，可以先马后看！,06/01
你们俩都好“可爱”特朗普佩洛西骂战升级！特朗普怼：她精神错乱；佩洛西回击：他就像鞋子上沾着小狗便便的孩子…L种花家的菌事兔的微博视频,06/01
美国抗议示威民众围攻特朗普家的酒店，砸开门就冲…#华盛顿#L全球奇闻微爆光的微博视频,06/01
推特屏蔽了特朗普的推文：“你们开抢，我们开枪”,06/01
